threshold,precision,recall,f1
0.023195514,0.2654364797728886,1.0,0.4195176668536175
0.023711698,0.265625,1.0,0.41975308641975306
0.023810938,0.2658137882018479,1.0,0.4199887703537339
0.024306696,0.26600284495021337,1.0,0.4202247191011236
0.024777558,0.2661921708185053,1.0,0.4204609331084879
0.024920996,0.26638176638176636,1.0,0.420697412823397
0.025456622,0.26657163221667857,1.0,0.42093415869442885
0.025709933,0.26676176890156916,1.0,0.42117117117117114
0.02579214,0.2669521770164168,1.0,0.4214084507042253
0.025955023,0.2671428571428571,1.0,0.42164599774520856
0.026035897,0.2673338098641887,1.0,0.4218838127467569
0.026041986,0.2675250357653791,1.0,0.4221218961625282
0.026085464,0.2677165354330709,1.0,0.42236024844720504
0.026445806,0.2679083094555874,1.0,0.4225988700564972
0.02649099,0.26810035842293906,1.0,0.42283776144714524
0.026811346,0.2682926829268293,1.0,0.4230769230769231
0.026904183,0.2684852835606604,1.0,0.42331635540464063
0.027968455,0.26887131560028754,1.0,0.42379603399433424
0.02810832,0.26906474820143883,1.0,0.42403628117913833
0.028376726,0.26925845932325415,1.0,0.424276800907544
0.028506525,0.26945244956772335,1.0,0.4245175936435869
0.028513247,0.26964671953857244,1.0,0.42475865985235656
0.028791545,0.2698412698412698,1.0,0.425
0.028801307,0.2700361010830325,1.0,0.4252416145537237
0.02895937,0.2702312138728324,1.0,0.4254835039817975
0.02944521,0.27042660882140274,1.0,0.4257256687535572
0.029815935,0.2706222865412446,1.0,0.42596810933940776
0.029894926,0.27081824764663287,1.0,0.42621082621082623
0.030083096,0.2710144927536232,1.0,0.4264538198403649
0.030128065,0.271211022480058,1.0,0.42669709070165435
0.030209417,0.2714078374455733,1.0,0.4269406392694064
0.03041228,0.2716049382716049,1.0,0.4271844660194175
0.030727135,0.27180232558139533,1.0,0.42742857142857144
0.030819423,0.272,1.0,0.4276729559748428
0.030900333,0.27219796215429404,1.0,0.4279176201372998
0.030968022,0.27239621267297887,1.0,0.4281625643961076
0.031058494,0.2725947521865889,1.0,0.42840778923253153
0.031856894,0.2727935813274982,1.0,0.42865329512893985
0.031963218,0.272992700729927,1.0,0.4288990825688073
0.032414198,0.2731921110299489,1.0,0.4291451520367183
0.03295469,0.2733918128654971,1.0,0.4293915040183697
0.03306187,0.27359180687637163,1.0,0.4296381390005744
0.03388679,0.27379209370424595,1.0,0.4298850574712643
0.034510247,0.273992673992674,1.0,0.43013225991949405
0.034717977,0.27419354838709675,1.0,0.430379746835443
0.035296272,0.2743947175348496,1.0,0.4306275187104203
0.03566638,0.2745961820851689,1.0,0.4308755760368663
0.035680864,0.2747979426891991,1.0,0.4311239193083573
0.036141455,0.275,1.0,0.4313725490196079
0.036213163,0.27520235467255333,1.0,0.4316214656664743
0.036552552,0.27540500736377027,1.0,0.4318706697459585
0.036625374,0.27560795873249816,1.0,0.43212016175621026
0.03667708,0.275811209439528,1.0,0.4323699421965318
0.0368202,0.27601476014760146,1.0,0.43262001156737995
0.036897585,0.276218611521418,1.0,0.43287037037037035
0.0369957,0.2764227642276423,1.0,0.43312101910828027
0.03718868,0.2768319763138416,1.0,0.4336231884057971
0.037525218,0.277037037037037,1.0,0.43387470997679817
0.037696537,0.2765011119347665,0.9973262032085561,0.43296575739988397
0.037708923,0.2767062314540059,0.9973262032085561,0.43321718931475023
0.03782481,0.2769116555308092,0.9973262032085561,0.4334689134224289
0.03817403,0.2771173848439822,0.9973262032085561,0.43372093023255814
0.038188677,0.27732342007434946,0.9973262032085561,0.4339732402559628
0.03821308,0.27773641102010427,0.9973262032085561,0.4344787419918462
0.038266167,0.2779433681073025,0.9973262032085561,0.4347319347319347
0.038494393,0.27815063385533184,0.9973262032085561,0.4349854227405247
0.038500737,0.2783582089552239,0.9973262032085561,0.43523920653442244
0.038822323,0.27856609410007466,0.9973262032085561,0.43549328663164033
0.038855493,0.2787742899850523,0.9973262032085561,0.4357476635514019
0.038911056,0.27898279730740466,0.9973262032085561,0.4360023378141438
0.03899339,0.2791916167664671,0.9973262032085561,0.4362573099415205
0.039044365,0.2794007490636704,0.9973262032085561,0.43651258045640734
0.039078355,0.27961019490254874,0.9973262032085561,0.436768149882904
0.039090388,0.2798199549887472,0.9973262032085561,0.4370240187463386
0.039412595,0.28003003003003,0.9973262032085561,0.4372801875732708
0.039417535,0.2802404207362885,0.9973262032085561,0.4375366568914957
0.039473705,0.2804511278195489,0.9973262032085561,0.43779342723004694
0.039642252,0.2806621519939804,0.9973262032085561,0.43805049911920135
0.03989743,0.2808734939759036,0.9973262032085561,0.43830787309048175
0.039908193,0.28108515448379806,0.9973262032085561,0.4385655496766608
0.039911315,0.2812971342383107,0.9973262032085561,0.4388235294117646
